t(s),r(km),v(km/s)
678,10713.5,4.10111
679,10717.6,4.09763
680,10721.7,4.09417
681,10725.8,4.0907
682,10729.9,4.08724
683,10734,4.08378
684,10738.1,4.08032
685,10742.2,4.07686
686,10746.2,4.07341
687,10750.3,4.06996
688,10754.4,4.06651
689,10758.5,4.06307
690,10762.5,4.05963
691,10766.6,4.05619
692,10770.6,4.05275
693,10774.7,4.04931
694,10778.7,4.04588
695,10782.8,4.04245
696,10786.8,4.03903
697,10790.8,4.0356
698,10794.9,4.03218
699,10798.9,4.02876
700,10802.9,4.02534
701,10807,4.02193
702,10811,4.01852
703,10815,4.01511
704,10819,4.0117
705,10823,4.0083
706,10827,4.0049
707,10831,4.0015
708,10835,3.9981
709,10839,3.99471
710,10843,3.99132
711,10847,3.98793
712,10851,3.98454
713,10855,3.98116
714,10859,3.97778
715,10862.9,3.9744
716,10866.9,3.97102
717,10870.9,3.96765
718,10874.8,3.96428
719,10878.8,3.96091
720,10882.8,3.95754
721,10886.7,3.95418
722,10890.7,3.95081
723,10894.6,3.94746
724,10898.6,3.9441
725,10902.5,3.94074
726,10906.5,3.93739
727,10910.4,3.93404
728,10914.3,3.9307
729,10918.2,3.92735
730,10922.2,3.92401
731,10926.1,3.92067
732,10930,3.91733
733,10933.9,3.914
734,10937.8,3.91066
735,10941.8,3.90733
736,10945.7,3.904
737,10949.6,3.90068
738,10953.5,3.89736
739,10957.4,3.89403
740,10961.2,3.89072
741,10965.1,3.8874
742,10969,3.88409
743,10972.9,3.88077
744,10976.8,3.87747
745,10980.7,3.87416
746,10984.5,3.87085
747,10988.4,3.86755
748,10992.3,3.86425
749,10996.1,3.86095
750,11000,3.85766
751,11003.8,3.85437
752,11007.7,3.85108
753,11011.5,3.84779
754,11015.4,3.8445
755,11019.2,3.84122
756,11023.1,3.83794
757,11026.9,3.83466
758,11030.7,3.83138
759,11034.6,3.82811
760,11038.4,3.82483
761,11042.2,3.82156
762,11046,3.8183
763,11049.9,3.81503
764,11053.7,3.81177
765,11057.5,3.80851
766,11061.3,3.80525
767,11065.1,3.80199
768,11068.9,3.79874
769,11072.7,3.79549
770,11076.5,3.79224
771,11080.3,3.78899
772,11084.1,3.78574
773,11087.8,3.7825
774,11091.6,3.77926
775,11095.4,3.77602
776,11099.2,3.77278
777,11103,3.76955
778,11106.7,3.76632
779,11110.5,3.76309
780,11114.2,3.75986
781,11118,3.75663
782,11121.8,3.75341
783,11125.5,3.75019
784,11129.3,3.74697
785,11133,3.74375
786,11136.7,3.74054
787,11140.5,3.73733
788,11144.2,3.73412
789,11148,3.73091
790,11151.7,3.7277
791,11155.4,3.7245
792,11159.1,3.7213
793,11162.9,3.7181
794,11166.6,3.7149
795,11170.3,3.7117
796,11174,3.70851
797,11177.7,3.70532
798,11181.4,3.70213
799,11185.1,3.69894
800,11188.8,3.69576
801,11192.5,3.69257
802,11196.2,3.68939
803,11199.9,3.68622
804,11203.6,3.68304
805,11207.2,3.67986
806,11210.9,3.67669
807,11214.6,3.67352
808,11218.3,3.67035
809,11221.9,3.66719
810,11225.6,3.66402
811,11229.3,3.66086
812,11232.9,3.6577
813,11236.6,3.65454
814,11240.2,3.65139
815,11243.9,3.64824
816,11247.5,3.64508
817,11251.2,3.64193
818,11254.8,3.63879
819,11258.4,3.63564
820,11262.1,3.6325
821,11265.7,3.62936
822,11269.3,3.62622
823,11273,3.62308
824,11276.6,3.61994
825,11280.2,3.61681
826,11283.8,3.61368
827,11287.4,3.61055
828,11291,3.60742
829,11294.6,3.6043
830,11298.3,3.60117
831,11301.8,3.59805
832,11305.4,3.59493
833,11309,3.59181
834,11312.6,3.5887
835,11316.2,3.58559
836,11319.8,3.58247
837,11323.4,3.57936
838,11327,3.57626
839,11330.5,3.57315
840,11334.1,3.57005
841,11337.7,3.56695
842,11341.2,3.56385
843,11344.8,3.56075
844,11348.4,3.55765
845,11351.9,3.55456
846,11355.5,3.55147
847,11359,3.54838
848,11362.6,3.54529
849,11366.1,3.5422
850,11369.7,3.53912
851,11373.2,3.53604
852,11376.7,3.53296
853,11380.3,3.52988
854,11383.8,3.5268
855,11387.3,3.52373
856,11390.8,3.52065
857,11394.4,3.51758
858,11397.9,3.51451
859,11401.4,3.51145
860,11404.9,3.50838
861,11408.4,3.50532
862,11411.9,3.50226
863,11415.4,3.4992
864,11418.9,3.49614
865,11422.4,3.49308
866,11425.9,3.49003
867,11429.4,3.48698
868,11432.9,3.48393
869,11436.3,3.48088
870,11439.8,3.47783
871,11443.3,3.47479
872,11446.8,3.47174
873,11450.2,3.4687
874,11453.7,3.46566
875,11457.2,3.46263
876,11460.6,3.45959
877,11464.1,3.45656
878,11467.5,3.45353
879,11471,3.4505
880,11474.4,3.44747
881,11477.9,3.44444
882,11481.3,3.44142
883,11484.8,3.43839
884,11488.2,3.43537
885,11491.6,3.43235
886,11495.1,3.42934
887,11498.5,3.42632
888,11501.9,3.42331
889,11505.4,3.4203
890,11508.8,3.41729
891,11512.2,3.41428
892,11515.6,3.41127
893,11519,3.40827
894,11522.4,3.40526
895,11525.8,3.40226
896,11529.2,3.39926
897,11532.6,3.39627
898,11536,3.39327
899,11539.4,3.39028
900,11542.8,3.38728
901,11546.2,3.38429
902,11549.6,3.3813
903,11552.9,3.37832
904,11556.3,3.37533
