t,x,y,vx,vy
361,992628,360686,984.653,1042.84
362,993614,361730,986.377,1043.47
363,994602,362774,988.107,1044.1
364,995592,363818,989.844,1044.73
365,996584,364864,991.588,1045.37
366,997577,365910,993.339,1046.01
367,998572,366956,995.097,1046.65
368,999569,368004,996.861,1047.3
369,1.00057e+06,369052,998.632,1047.95
370,1.00157e+06,370100,1000.41,1048.61
371,1.00257e+06,371150,1002.19,1049.27
372,1.00357e+06,372199,1003.99,1049.93
373,1.00458e+06,373250,1005.78,1050.6
374,1.00559e+06,374301,1007.59,1051.27
375,1.0066e+06,375353,1009.4,1051.94
376,1.00761e+06,376406,1011.22,1052.62
377,1.00862e+06,377459,1013.04,1053.3
378,1.00964e+06,378513,1014.87,1053.99
379,1.01065e+06,379568,1016.71,1054.68
380,1.01167e+06,380623,1018.55,1055.37
381,1.01269e+06,381679,1020.4,1056.06
382,1.01371e+06,382736,1022.26,1056.76
383,1.01474e+06,383793,1024.13,1057.47
384,1.01576e+06,384852,1026,1058.17
385,1.01679e+06,385911,1027.87,1058.89
386,1.01782e+06,386970,1029.76,1059.6
387,1.01885e+06,388030,1031.64,1060.32
388,1.01989e+06,389092,1033.54,1061.04
389,1.02092e+06,390153,1035.44,1061.77
390,1.02196e+06,391216,1037.35,1062.5
391,1.023e+06,392279,1039.27,1063.23
392,1.02404e+06,393343,1041.19,1063.97
393,1.02508e+06,394408,1043.12,1064.71
394,1.02613e+06,395473,1045.05,1065.45
395,1.02718e+06,396539,1046.99,1066.2
396,1.02822e+06,397606,1048.94,1066.95
397,1.02928e+06,398674,1050.89,1067.71
398,1.03033e+06,399742,1052.85,1068.46
399,1.03138e+06,400812,1054.82,1069.23
400,1.03244e+06,401882,1056.79,1069.99
401,1.0335e+06,402952,1058.77,1070.76
402,1.03456e+06,404024,1060.75,1071.54
403,1.03562e+06,405096,1062.74,1072.31
404,1.03669e+06,406169,1064.74,1073.1
405,1.03775e+06,407243,1066.74,1073.88
406,1.03882e+06,408318,1068.75,1074.67
407,1.03989e+06,409393,1070.77,1075.46
408,1.04097e+06,410470,1072.79,1076.26
409,1.04204e+06,411547,1074.82,1077.06
410,1.04312e+06,412625,1076.85,1077.86
411,1.0442e+06,413703,1078.89,1078.67
412,1.04528e+06,414783,1080.93,1079.48
413,1.04636e+06,415863,1082.99,1080.29
414,1.04745e+06,416944,1085.04,1081.11
415,1.04853e+06,418026,1087.11,1081.93
416,1.04962e+06,419109,1089.18,1082.76
417,1.05071e+06,420192,1091.25,1083.58
418,1.05181e+06,421277,1093.34,1084.42
419,1.0529e+06,422362,1095.42,1085.25
420,1.054e+06,423448,1097.52,1086.09
